,time,ID,01VCU_Tx_trqMCURR,02VCU_Tx_nMCURR,03VCU_Tx_stMCURRKeyOn,04VCU_Tx_stMCURRActDischrg,05VCU_Tx_stMCURRActSC,06VCU_Tx_stMCURRReq,07VCU_Tx_stMCUCRRMod,08VCU_Tx_stMCURRTrqFlg,09VCU_Tx_stMCURRNFlg,10VCU_Tx_ctRolling8,11VCU_Tx_numChkS8
1574,897.5945730000003,515,30391,38268,1,0,0,1,0,0,0,10,235
1575,898.16481,515,30363,38268,1,0,0,1,0,0,0,2,107
1576,898.7345789999997,515,30337,38268,1,0,0,1,0,0,0,12,203
1577,899.3045880000003,515,30298,38268,1,0,0,1,0,0,0,5,59
1578,899.874568,515,30275,38268,1,0,0,1,0,0,0,14,171
1579,900.444574,515,30257,38268,1,0,0,1,0,0,0,7,27
1580,901.0145460000001,515,30254,38268,1,0,0,1,0,0,0,0,139
1581,901.5845439999999,515,30252,38268,1,0,0,1,0,0,0,9,251
1582,902.154549,515,30251,38268,1,0,0,1,0,0,0,2,107
1583,902.724526,515,30250,38268,1,0,0,1,0,0,0,11,219
1584,903.294526,515,30253,38268,1,0,0,1,0,0,0,4,75
1585,903.864843,515,30233,38268,1,0,0,1,0,0,0,12,203
1586,904.434524,515,30197,38268,1,0,0,1,0,0,0,6,43
1587,905.0045119999999,515,30201,38268,1,0,0,1,0,0,0,15,155
1588,905.574537,515,30114,38268,1,0,0,1,0,0,0,8,11
1589,906.1445259999999,515,30000,38268,1,0,0,1,0,0,0,1,123
1590,906.7145,515,30035,38268,1,0,0,1,0,0,0,10,235
1591,907.2844980000001,515,30045,38268,1,0,0,1,0,0,0,3,91
1592,907.854517,515,30064,38268,1,0,0,1,0,0,0,12,203
1593,908.424492,515,30155,38268,1,0,0,1,0,0,0,5,59
1594,908.994466,515,30155,38268,1,0,0,1,0,0,0,14,171
1595,909.5648289999999,515,30158,38268,1,0,0,1,0,0,0,6,43
1596,910.1344869999999,515,30159,38268,1,0,0,1,0,0,0,0,139
1597,910.704484,515,30162,38268,1,0,0,1,0,0,0,9,251
1598,911.27448,515,30157,38268,1,0,0,1,0,0,0,2,107
1599,911.844445,515,30159,38268,1,0,0,1,0,0,0,11,219
1600,912.414459,515,30156,38268,1,0,0,1,0,0,0,4,75
1601,912.9844400000001,515,30001,38268,1,0,0,1,0,0,0,13,187
1602,913.5544380000001,515,30000,38268,1,0,0,1,0,0,0,6,43
1603,914.124442,515,30000,38268,1,0,0,1,0,0,0,15,155
1604,914.6944269999999,515,30000,38268,1,0,0,1,0,0,0,8,11
1605,915.26485,515,30000,38268,1,0,0,1,0,0,0,0,139
1606,915.8344279999999,515,30000,38268,1,0,0,1,0,0,0,10,235
1607,916.4044,515,30000,38268,1,0,0,1,0,0,0,3,91
1608,916.974407,515,30000,38268,1,0,0,1,0,0,0,12,203
1609,917.5444349999999,515,30000,38268,1,0,0,1,0,0,0,5,59
1610,918.1143800000001,515,30000,38268,1,0,0,1,0,0,0,14,171
1611,918.684403,515,30000,38268,1,0,0,1,0,0,0,7,27
1612,919.2543900000001,515,30000,38268,1,0,0,1,0,0,0,0,139
1613,919.8243650000001,515,30000,38268,1,0,0,1,0,0,0,9,251
1614,920.394388,515,30000,38268,1,0,0,1,0,0,0,2,107
1615,920.964723,515,30000,38268,1,0,0,1,0,0,0,10,235
1616,921.534392,515,30000,38268,1,0,0,1,0,0,0,4,75
1617,922.104373,515,30000,38268,1,0,0,1,0,0,0,13,187
1618,922.67436,515,30000,38268,1,0,0,1,0,0,0,6,43
1619,923.244385,515,30000,38268,1,0,0,1,0,0,0,15,155
1620,923.8143560000001,515,30000,38268,1,0,0,1,0,0,0,8,11
1621,924.384335,515,30000,38268,1,0,0,1,0,0,0,1,123
1622,924.954321,515,30000,38268,1,0,0,1,0,0,0,10,235
1623,925.524315,515,30000,38268,1,0,0,1,0,0,0,3,91
1624,926.0943269999999,515,30000,38268,1,0,0,1,0,0,0,12,203
1625,926.664832,515,30000,38268,1,0,0,1,0,0,0,4,75
1626,927.234303,515,30000,38268,1,0,0,1,0,0,0,14,171
1627,927.8043230000001,515,30000,38268,1,0,0,1,0,0,0,7,27
1628,928.3743289999999,515,30000,38268,1,0,0,1,0,0,0,0,139
1629,928.944309,515,30000,38268,1,0,0,1,0,0,0,9,251
1630,929.514293,515,30000,38268,1,0,0,1,0,0,0,2,107
1631,930.0842970000001,515,30000,38268,1,0,0,1,0,0,0,11,219
1632,930.6542929999999,515,30000,38268,1,0,0,1,0,0,0,4,75
1633,931.2243070000001,515,30000,38268,1,0,0,1,0,0,0,13,187
1634,931.794279,515,30000,38268,1,0,0,1,0,0,0,6,43
1635,932.364772,515,30000,38268,1,0,0,1,0,0,0,14,171
1636,932.9342839999999,515,30000,38268,1,0,0,1,0,0,0,8,11
1637,933.504274,515,30000,38268,1,0,0,1,0,0,0,1,123
1638,934.0742650000001,515,30000,38268,1,0,0,1,0,0,0,10,235
1639,934.644255,515,30000,38268,1,0,0,1,0,0,0,3,91
1640,935.2142779999999,515,30000,38268,1,0,0,1,0,0,0,12,203
1641,935.784269,515,30000,38268,1,0,0,1,0,0,0,5,59
1642,936.354235,515,30000,38268,1,0,0,1,0,0,0,14,171
1643,936.9242320000001,515,30000,38268,1,0,0,1,0,0,0,7,27
1644,937.4942279999999,515,30064,38268,1,0,0,1,0,0,0,0,139
1645,938.064719,515,30072,38268,1,0,0,1,0,0,0,8,11
1646,938.634243,515,30074,38268,1,0,0,1,0,0,0,2,107
1647,939.204208,515,30076,38268,1,0,0,1,0,0,0,11,219
1648,939.7742099999999,515,30078,38268,1,0,0,1,0,0,0,4,75
1649,940.3442220000001,515,30080,38268,1,0,0,1,0,0,0,13,187
1650,940.9142119999999,515,30079,38268,1,0,0,1,0,0,0,6,43
1651,941.4842140000001,515,30080,38268,1,0,0,1,0,0,0,15,155
1652,942.054246,515,30078,38268,1,0,0,1,0,0,0,8,11
1653,942.624215,515,30076,38268,1,0,0,1,0,0,0,1,123
1654,943.1941619999999,515,30075,38268,1,0,0,1,0,0,0,10,235
1655,943.764316,515,30073,38268,1,0,0,1,0,0,0,2,107
1656,944.3342230000001,515,30071,38268,1,0,0,1,0,0,0,12,203
1657,944.9041689999999,515,30071,38268,1,0,0,1,0,0,0,5,59
1658,945.474167,515,30069,38268,1,0,0,1,0,0,0,14,171
1659,946.044156,515,30068,38268,1,0,0,1,0,0,0,7,27
1660,946.6141660000001,515,30066,38268,1,0,0,1,0,0,0,0,139
1661,947.184156,515,30065,38268,1,0,0,1,0,0,0,9,251
1662,947.7541460000001,515,30062,38268,1,0,0,1,0,0,0,1,123
1663,948.3241380000001,515,30060,38268,1,0,0,1,0,0,0,11,219
1664,948.894121,515,30059,38268,1,0,0,1,0,0,0,4,75
1665,949.464772,515,30058,38268,1,0,0,1,0,0,0,12,203
1666,950.0341480000001,515,30054,38268,1,0,0,1,0,0,0,6,43
1667,950.604119,515,30052,38268,1,0,0,1,0,0,0,15,155
1668,951.174137,515,30052,38268,1,0,0,1,0,0,0,8,11
1669,951.7441269999999,515,30050,38268,1,0,0,1,0,0,0,1,123
1670,952.314117,515,30048,38268,1,0,0,1,0,0,0,10,235
1671,952.88411,515,30046,38268,1,0,0,1,0,0,0,3,91
1672,953.4541130000001,515,30046,38268,1,0,0,1,0,0,0,12,203
1673,954.02409,515,30044,38268,1,0,0,1,0,0,0,5,59
1674,954.5941130000001,515,30043,38268,1,0,0,1,0,0,0,14,171
1675,955.164776,515,30043,38268,1,0,0,1,0,0,0,6,43
1676,955.734083,515,30040,38268,1,0,0,1,0,0,0,0,139
1677,956.3040619999999,515,30040,38268,1,0,0,1,0,0,0,9,251
1678,956.8740869999999,515,30039,38268,1,0,0,1,0,0,0,2,107
1679,957.444064,515,30039,38268,1,0,0,1,0,0,0,11,219
1680,958.014074,515,30039,38268,1,0,0,1,0,0,0,4,75
1681,958.584032,515,30038,38268,1,0,0,1,0,0,0,13,187
1682,959.1540279999999,515,30038,38268,1,0,0,1,0,0,0,6,43
1683,959.724077,515,30037,38268,1,0,0,1,0,0,0,15,155
1684,960.2940480000001,515,30037,38268,1,0,0,1,0,0,0,8,11
1685,960.864776,515,30036,38268,1,0,0,1,0,0,0,0,139
1686,961.434026,515,30036,38268,1,0,0,1,0,0,0,10,235
1687,962.0040119999999,515,30037,38268,1,0,0,1,0,0,0,3,91
1688,962.574034,515,30037,38268,1,0,0,1,0,0,0,12,203
1689,963.14402,515,30037,38268,1,0,0,1,0,0,0,5,59
1690,963.7140310000001,515,30038,38268,1,0,0,1,0,0,0,14,171
1691,964.2839970000001,515,30038,38268,1,0,0,1,0,0,0,7,27
1692,964.853998,515,30040,38268,1,0,0,1,0,0,0,0,139
1693,965.423993,515,30042,38268,1,0,0,1,0,0,0,9,251
1694,965.9939820000001,515,30042,38268,1,0,0,1,0,0,0,2,107
1695,966.564798,515,30044,38268,1,0,0,1,0,0,0,10,235
1696,967.133992,515,30044,38268,1,0,0,1,0,0,0,4,75
1697,967.7039699999999,515,30044,38268,1,0,0,1,0,0,0,13,187
1698,968.2739859999999,515,30046,38268,1,0,0,1,0,0,0,6,43
1699,968.843968,515,30049,38268,1,0,0,1,0,0,0,15,155
1700,969.413962,515,30049,38268,1,0,0,1,0,0,0,8,11
1701,969.983944,515,30051,38268,1,0,0,1,0,0,0,1,123
1702,970.553962,515,30052,38268,1,0,0,1,0,0,0,10,235
1703,971.123969,515,30052,38268,1,0,0,1,0,0,0,3,91
1704,971.693941,515,30053,38268,1,0,0,1,0,0,0,12,203
1705,972.2639730000001,515,30055,38268,1,0,0,1,0,0,0,4,75
1706,972.8339480000001,515,30056,38268,1,0,0,1,0,0,0,14,171
1707,973.40394,515,30057,38268,1,0,0,1,0,0,0,7,27
1708,973.9739109999999,515,30057,38268,1,0,0,1,0,0,0,0,139
1709,974.5439460000001,515,30060,38268,1,0,0,1,0,0,0,8,11
1710,975.113943,515,30061,38268,1,0,0,1,0,0,0,2,107
1711,975.6839289999999,515,30061,38268,1,0,0,1,0,0,0,10,235
1712,976.2538949999999,515,30064,38268,1,0,0,1,0,0,0,4,75
1713,976.8239130000001,515,30065,38268,1,0,0,1,0,0,0,12,203
1714,977.3939,515,30066,38268,1,0,0,1,0,0,0,6,43
1715,977.964699,515,30067,38268,1,0,0,1,0,0,0,14,171
1716,978.533901,515,30068,38268,1,0,0,1,0,0,0,8,11
1717,979.103877,515,30066,38268,1,0,0,1,0,0,0,0,139
1718,979.673869,515,30067,38268,1,0,0,1,0,0,0,10,235
1719,980.2438779999999,515,30070,38268,1,0,0,1,0,0,0,2,107
1720,980.81388,515,30071,38268,1,0,0,1,0,0,0,11,219
1721,981.3838789999999,515,30072,38268,1,0,0,1,0,0,0,4,75
1722,981.953867,515,30073,38268,1,0,0,1,0,0,0,14,171
1723,982.5238699999999,515,30073,38268,1,0,0,1,0,0,0,6,43
1724,983.0938269999999,515,30072,38268,1,0,0,1,0,0,0,15,155
1725,983.6647009999999,515,30073,38268,1,0,0,1,0,0,0,8,11
1726,984.23384,515,30071,38268,1,0,0,1,0,0,0,2,107
1727,984.8038359999999,515,30072,38268,1,0,0,1,0,0,0,10,235
1728,985.373834,515,30071,38268,1,0,0,1,0,0,0,4,75
1729,985.9438470000001,515,30071,38268,1,0,0,1,0,0,0,12,203
1730,986.5138109999999,515,30069,38268,1,0,0,1,0,0,0,5,59
1731,987.083841,515,30068,38268,1,0,0,1,0,0,0,14,171
1732,987.653835,515,30068,38268,1,0,0,1,0,0,0,7,27
1733,988.223833,515,30066,38268,1,0,0,1,0,0,0,0,139
1734,988.7937820000001,515,30064,38268,1,0,0,1,0,0,0,9,251
1735,989.364753,515,30062,38268,1,0,0,1,0,0,0,2,107
1736,989.933798,515,30060,38268,1,0,0,1,0,0,0,11,219
1737,990.503792,515,30060,38268,1,0,0,1,0,0,0,4,75
1738,991.0737960000001,515,30060,38268,1,0,0,1,0,0,0,14,171
1739,991.643784,515,30057,38268,1,0,0,1,0,0,0,6,43
1740,992.213793,515,30057,38268,1,0,0,1,0,0,0,15,155
1741,992.783764,515,30054,38268,1,0,0,1,0,0,0,8,11
1742,993.3537660000001,515,30054,38268,1,0,0,1,0,0,0,1,123
1743,993.923774,515,30054,38268,1,0,0,1,0,0,0,10,235
1744,994.4937369999999,515,30051,38268,1,0,0,1,0,0,0,3,91
1745,995.063801,515,30050,38268,1,0,0,1,0,0,0,12,203
1746,995.633765,515,30048,38268,1,0,0,1,0,0,0,5,59
1747,996.203729,515,30047,38268,1,0,0,1,0,0,0,14,171
1748,996.773752,515,30046,38268,1,0,0,1,0,0,0,8,11
1749,997.34373,515,30046,38268,1,0,0,1,0,0,0,0,139
1750,997.9137199999999,515,30043,38268,1,0,0,1,0,0,0,9,251
1751,998.483718,515,30044,38268,1,0,0,1,0,0,0,2,107
1752,999.0537109999999,515,30043,38268,1,0,0,1,0,0,0,11,219
1753,999.623698,515,30043,38268,1,0,0,1,0,0,0,4,75
1754,1000.1936880000001,515,30042,38268,1,0,0,1,0,0,0,13,187
1755,1000.76385,515,30041,38268,1,0,0,1,0,0,0,6,43
1756,1001.3337119999999,515,30040,38268,1,0,0,1,0,0,0,15,155
1757,1001.9037099999999,515,30040,38268,1,0,0,1,0,0,0,8,11
1758,1002.4737240000001,515,30039,38268,1,0,0,1,0,0,0,2,107
1759,1003.0436710000001,515,30038,38268,1,0,0,1,0,0,0,10,235
1760,1003.6136939999999,515,30038,38268,1,0,0,1,0,0,0,3,91
1761,1004.1836490000001,515,30037,38268,1,0,0,1,0,0,0,12,203
1762,1004.753672,515,30038,38268,1,0,0,1,0,0,0,5,59
1763,1005.3236539999999,515,30038,38268,1,0,0,1,0,0,0,14,171
1764,1005.893685,515,30037,38268,1,0,0,1,0,0,0,7,27
1765,1006.463792,515,30036,38268,1,0,0,1,0,0,0,0,139
1766,1007.033664,515,30036,38268,1,0,0,1,0,0,0,9,251
1767,1007.603619,515,30037,38268,1,0,0,1,0,0,0,2,107
1768,1008.173642,515,30037,38268,1,0,0,1,0,0,0,11,219
1769,1008.7436539999999,515,30036,38268,1,0,0,1,0,0,0,4,75
1770,1009.313613,515,30038,38268,1,0,0,1,0,0,0,13,187
1771,1009.8836359999999,515,30037,38268,1,0,0,1,0,0,0,6,43
1772,1010.453624,515,30037,38268,1,0,0,1,0,0,0,15,155
1773,1011.023621,515,30039,38268,1,0,0,1,0,0,0,8,11
1774,1011.593627,515,30038,38268,1,0,0,1,0,0,0,1,123
1775,1012.163593,515,30040,38268,1,0,0,1,0,0,0,10,235
1776,1012.7336119999999,515,30042,38268,1,0,0,1,0,0,0,3,91
1777,1013.303607,515,30042,38268,1,0,0,1,0,0,0,12,203
1778,1013.8735810000001,515,30044,38268,1,0,0,1,0,0,0,5,59
1779,1014.4435900000001,515,30044,38268,1,0,0,1,0,0,0,14,171
1780,1015.0135779999999,515,30047,38268,1,0,0,1,0,0,0,7,27
1781,1015.583573,515,30047,38268,1,0,0,1,0,0,0,0,139
1782,1016.153591,515,30047,38268,1,0,0,1,0,0,0,9,251
1783,1016.72355,515,30049,38268,1,0,0,1,0,0,0,2,107
1784,1017.2935570000001,515,30052,38268,1,0,0,1,0,0,0,11,219
1785,1017.863722,515,30052,38268,1,0,0,1,0,0,0,4,75
1786,1018.4335289999999,515,30053,38268,1,0,0,1,0,0,0,13,187
1787,1019.003524,515,30053,38268,1,0,0,1,0,0,0,6,43
1788,1019.573556,515,30056,38268,1,0,0,1,0,0,0,15,155
1789,1020.143557,515,30057,38268,1,0,0,1,0,0,0,8,11
1790,1020.713544,515,30057,38268,1,0,0,1,0,0,0,1,123
1791,1021.2835029999999,515,30060,38268,1,0,0,1,0,0,0,10,235
1792,1021.8535189999999,515,30060,38268,1,0,0,1,0,0,0,3,91
1793,1022.4235289999999,515,30061,38268,1,0,0,1,0,0,0,12,203
1794,1022.993508,515,30064,38268,1,0,0,1,0,0,0,5,59
1795,1023.563728,515,30000,38268,1,0,0,1,0,0,0,14,171
1796,1024.133495,515,30011,38268,1,0,0,1,0,0,0,7,27
1797,1024.7034859999999,515,30109,38268,1,0,0,1,0,0,0,0,139
1798,1025.2735089999999,515,30119,38268,1,0,0,1,0,0,0,9,251
1799,1025.843481,515,30152,38268,1,0,0,1,0,0,0,2,107
1800,1026.413465,515,30395,38268,1,0,0,1,0,0,0,11,219
1801,1026.98346,515,30543,38268,1,0,0,1,0,0,0,4,75
1802,1027.5534810000001,515,30539,38268,1,0,0,1,0,0,0,13,187
1803,1028.123473,515,30542,38268,1,0,0,1,0,0,0,6,43
1804,1028.693484,515,30538,38268,1,0,0,1,0,0,0,15,155
1805,1029.263551,515,30543,38268,1,0,0,1,0,0,0,8,11
1806,1029.833467,515,30542,38268,1,0,0,1,0,0,0,1,123
1807,1030.403448,515,30542,38268,1,0,0,1,0,0,0,10,235
1808,1030.973441,515,30546,38268,1,0,0,1,0,0,0,3,91
1809,1031.543468,515,30543,38268,1,0,0,1,0,0,0,12,203
1810,1032.113434,515,30543,38268,1,0,0,1,0,0,0,5,59
1811,1032.683429,515,30541,38268,1,0,0,1,0,0,0,14,171
1812,1033.25342,515,30529,38268,1,0,0,1,0,0,0,7,27
1813,1033.823424,515,30452,38268,1,0,0,1,0,0,0,0,139
1814,1034.393415,515,30388,38268,1,0,0,1,0,0,0,9,251
1815,1034.963592,515,30265,38268,1,0,0,1,0,0,0,2,107
1816,1035.533393,515,30172,38268,1,0,0,1,0,0,0,11,219
1817,1036.103375,515,30171,38268,1,0,0,1,0,0,0,4,75
1818,1036.673395,515,30154,38268,1,0,0,1,0,0,0,13,187
1819,1037.243395,515,30037,38268,1,0,0,1,0,0,0,6,43
1820,1037.813373,515,30000,38268,1,0,0,1,0,0,0,15,155
1821,1038.383401,515,30000,38268,1,0,0,1,0,0,0,8,11
1822,1038.953362,515,30000,38268,1,0,0,1,0,0,0,1,123
1823,1039.523374,515,30000,38268,1,0,0,1,0,0,0,10,235
1824,1040.09335,515,30000,38268,1,0,0,1,0,0,0,3,91
1825,1040.663537,515,30000,38268,1,0,0,1,0,0,0,12,203
1826,1041.233355,515,30000,38268,1,0,0,1,0,0,0,5,59
1827,1041.803341,515,30000,38268,1,0,0,1,0,0,0,14,171
1828,1042.373356,515,30000,38268,1,0,0,1,0,0,0,7,27
1829,1042.943342,515,30000,38268,1,0,0,1,0,0,0,0,139
1830,1043.5133289999999,515,30000,38268,1,0,0,1,0,0,0,9,251
1831,1044.083314,515,30000,38268,1,0,0,1,0,0,0,2,107
1832,1044.653335,515,30000,38268,1,0,0,1,0,0,0,11,219
1833,1045.223303,515,30000,38268,1,0,0,1,0,0,0,4,75
1834,1045.79332,515,30001,38268,1,0,0,1,0,0,0,13,187
1835,1046.363535,515,30149,38268,1,0,0,1,0,0,0,6,43
1836,1046.9332960000004,515,30165,38268,1,0,0,1,0,0,0,15,155
1837,1047.503325,515,30163,38268,1,0,0,1,0,0,0,8,11
1838,1048.073292,515,30162,38268,1,0,0,1,0,0,0,1,123
