,time,ID,01VCU_Tx_trqMCUFL,02VCU_Tx_nMCUFL,03VCU_Tx_stMCUFLKeyOn,04VCU_Tx_stMCUFLActDischrg,05VCU_Tx_stMCUFLActSC,06VCU_Tx_stMCUFLReq,07VCU_Tx_stMCUCFLMod,08VCU_Tx_stMCUFLTrqFlg,09VCU_Tx_stMCUFLNFlg,10VCU_Tx_ctRolling5,11VCU_Tx_numChkS5
112,63.84168100000001,512,30000,32769,1,0,0,0,0,0,0,12,152
113,64.411644,512,30000,32769,1,0,0,0,0,0,0,5,8
114,64.981385,512,30000,32769,1,0,0,0,0,0,0,14,120
115,65.551641,512,30000,32769,1,0,0,0,0,0,0,7,232
116,66.12166500000001,512,30000,32769,1,0,0,0,0,0,0,0,88
117,66.691647,512,30000,32769,1,0,0,0,0,0,0,9,200
118,67.26155,512,30000,32769,1,0,0,0,0,0,0,2,56
119,67.831376,512,30000,32769,1,0,0,0,0,0,0,11,168
120,68.401391,512,30000,32769,1,0,0,0,0,0,0,4,24
121,68.971366,512,30000,32769,1,0,0,0,0,0,0,13,136
122,69.541358,512,30000,32769,1,0,0,0,0,0,0,6,248
123,70.111356,512,30000,32769,1,0,0,0,0,0,0,15,104
124,70.68135799999997,512,30000,32769,1,0,0,0,0,0,0,8,216
125,71.251348,512,30000,32769,1,0,0,0,0,0,0,1,72
126,71.821368,512,30000,32769,1,0,0,0,0,0,0,10,184
127,72.391364,512,30000,32769,1,0,0,0,0,0,0,3,40
128,72.961536,512,30000,32769,1,0,0,0,0,0,0,12,152
129,73.53134,512,30000,32769,1,0,0,0,0,0,0,5,8
130,74.10134599999998,512,30000,32769,1,0,0,0,0,0,0,14,120
131,74.671352,512,30000,32769,1,0,0,0,0,0,0,7,232
132,75.241322,512,30000,32769,1,0,0,0,0,0,0,0,88
133,75.811304,512,30000,32769,1,0,0,0,0,0,0,9,200
134,76.38133499999998,512,30000,32769,1,0,0,0,0,0,0,2,56
135,76.951332,512,30000,32769,1,0,0,0,0,0,0,11,168
136,77.521309,512,30000,32769,1,0,0,0,0,0,0,4,24
137,78.091303,512,30000,32769,1,0,0,0,0,0,0,13,136
138,78.661282,512,30000,32769,1,0,0,0,0,0,0,6,248
139,79.231308,512,30000,32769,1,0,0,0,0,0,0,15,104
140,79.801291,512,30000,32769,1,0,0,0,0,0,0,8,216
141,80.371284,512,30000,32769,1,0,0,0,0,0,0,1,72
142,80.941296,512,30000,32769,1,0,0,0,0,0,0,10,184
143,81.511275,512,30000,32769,1,0,0,0,0,0,0,3,40
